Alieu	givenname	0	1	
Alina	givenname	0	1	
Alis	givenname	0	1	
Alisar	givenname	0	1	
Alison	givenname	0	1	
Alissa	givenname	0	1	
Alister	givenname	0	1	
Aljona	givenname	0	1	
Alkamenes	givenname	0	1	
Alkan	givenname	0	1	
Alla	givenname	0	1	
Allegra	givenname	0	1	
Allie	givenname	0	1	
Alma	givenname	0	1	
al-Malik	givenname	0	1	
Almira	givenname	0	1	
Álmos	givenname	0	1	
Almut	givenname	0	1	
Alois	givenname	0	1	
Aloisia	givenname	0	1	
Alonso	givenname	0	1	
Alparslan	givenname	0	1	
Alper	givenname	0	1	
Alperen	givenname	0	1	
Alphonse	givenname	0	1	
Alrun	givenname	0	1	
Altan	givenname	0	1	
Altay	givenname	0	1	
Altor	givenname	0	1	
Alun	givenname	0	1	
Alva	givenname	0	1	
Alvar	givenname	0	1	
Álvar	givenname	0	1	
Alvaro	givenname	0	1	
Álvaro	givenname	0	1	
Alwin	givenname	0	1	
Alwine	givenname	0	1	
Alyssa	givenname	0	1	
Amadeus	givenname	0	1	
Amalberga	givenname	0	1	
Amalie	givenname	0	1	
Amalrich	givenname	0	1	
Amana	givenname	0	1	
Amanda	givenname	0	1	
Amber	givenname	0	1	
Amédée	givenname	0	1	
Amedeo	givenname	0	1	
Amelie	givenname	0	1	
Amélie	givenname	0	1	
Amelius	givenname	0	1	
Amin	givenname	0	1	
Amina	givenname	0	1	
Aminata	givenname	0	1	
Amira	givenname	0	1	
Ammar	givenname	0	1	
Amos	givenname	0	1	
Amparo	givenname	0	1	
Amphion	givenname	0	1	
Amram	givenname	0	1	
Amrei	givenname	0	1	
Amy	givenname	0	1	
Amyntas	givenname	0	1	
Anaïs	givenname	0	1	
Anas	givenname	0	1	
Anastasia	givenname	0	1	
Anastasius	givenname	0	1	
Anaxandridas	givenname	0	1	
Anca	givenname	0	1	
Anđelko	givenname	0	1	
Anders	givenname	0	1	
Andor	givenname	0	1	
André	givenname	0	1	
Andrea	givenname	0	1	
Andreas	givenname	0	1	
Andree	givenname	0	1	
Andrei	givenname	0	1	
Andrej	givenname	0	1	
Andres	givenname	0	1	
Andrés	givenname	0	1	
Andreu	givenname	0	1	
Andrew	givenname	0	1	
Andries	givenname	0	1	
Andrin	givenname	0	1	
Andris	givenname	0	1	
Andrius	givenname	0	1	
Andrzej	givenname	0	1	
Anete	givenname	0	1	
Anett	givenname	0	1	
Ange	givenname	0	1	
Angel	givenname	0	1	
Ángel	givenname	0	1	
Angela	givenname	0	1	
Angele	givenname	0	1	
Angelika	givenname	0	1	
Angelina	givenname	0	1	
Angelique	givenname	0	1	
Angelo	givenname	0	1	
Anianus	givenname	0	1	
Anil	givenname	0	1	
Anıl	givenname	0	1	
Anita	givenname	0	1	
Anja	givenname	0	1	
Anjana	givenname	0	1	
Anjuli	givenname	0	1	
Ann	givenname	0	1	
Anna	givenname	0	1	
Annabel	givenname	0	1	
Annalena	givenname	0	1	
Annalisa	givenname	0	1	
Anne	givenname	0	1	
Annegret	givenname	0	1	
Anne-Kathrin	givenname	0	1	
Annelie	givenname	0	1	
Anneliese	givenname	0	1	
Annemarie	givenname	0	1	
Annemie	givenname	0	1	
Annemieke	givenname	0	1	
Annett	givenname	0	1	
Annette	givenname	0	1	
Annie	givenname	0	1	
Annika	givenname	0	1	
Annikki	givenname	0	1	
Anno	givenname	0	1	
Annunziata	givenname	0	1	
Anny	givenname	0	1	
Anouar	givenname	0	1	
Anouk	givenname	0	1	
Anselm	givenname	0	1	
Ansgar	givenname	0	1	
Ansgard	givenname	0	1	
Antal	givenname	0	1	
Antanas	givenname	0	1	
Antara	givenname	0	1	
Ante	givenname	0	1	
Anthony	givenname	0	1	
Antje	givenname	0	1	
Antoinette	givenname	0	1	
Anton	givenname	0	1	
Antonella	givenname	0	1	
Antoni	givenname	0	1	
